date,na,open,high,low,close,volume
2015.12.16,0:00,1.0624,1.06906,1.0613,1.06275,136299
2015.12.17,0:00,1.06212,1.06822,1.05818,1.06271,130540
2015.12.18,0:00,1.06214,1.06775,1.06153,1.06445,111656
2015.12.21,0:00,1.06408,1.06571,1.05926,1.06262,73102
2015.12.22,0:00,1.06216,1.06345,1.05799,1.06241,86104
2015.12.23,0:00,1.0626,1.06767,1.06045,1.06396,74232
2015.12.24,0:00,1.06388,1.06789,1.06201,1.06368,52209
2015.12.28,0:00,1.06368,1.06448,1.0581,1.05823,51738
2015.12.29,0:00,1.05797,1.06212,1.05657,1.06136,57918
2015.12.30,0:00,1.06132,1.0665,1.05975,1.06408,72539
2015.12.31,0:00,1.06388,1.06877,1.0616,1.06658,69401
2016.01.04,0:00,1.06607,1.07061,1.06194,1.06461,120694
2016.01.05,0:00,1.06433,1.07168,1.06268,1.06737,103584
2016.01.06,0:00,1.06787,1.07261,1.06234,1.06405,132514
2016.01.07,0:00,1.06443,1.06629,1.0537,1.05709,156738
2016.01.08,0:00,1.05684,1.06616,1.05641,1.06155,159353
2016.01.11,0:00,1.06145,1.06982,1.06023,1.06542,153103
2016.01.12,0:00,1.06574,1.0717,1.06217,1.06767,138770
2016.01.13,0:00,1.06747,1.07183,1.06525,1.06682,125789
2016.01.14,0:00,1.06741,1.07978,1.06609,1.07813,168163
2016.01.15,0:00,1.0781,1.08081,1.05935,1.06021,158098
2016.01.18,0:00,1.06487,1.06933,1.06264,1.06329,117477
2016.01.19,0:00,1.06308,1.07834,1.06245,1.07656,148416
2016.01.20,0:00,1.07588,1.08395,1.072,1.07374,185160
2016.01.21,0:00,1.07374,1.07753,1.06843,1.07086,188750
2016.01.22,0:00,1.071,1.08343,1.07073,1.0771,126294
2016.01.25,0:00,1.07778,1.08271,1.07334,1.07682,101054
2016.01.26,0:00,1.07618,1.08112,1.07507,1.07734,110353
2016.01.27,0:00,1.07741,1.0925,1.0738,1.09168,162708
2016.01.28,0:00,1.09231,1.09664,1.08985,1.09261,134446
2016.01.29,0:00,1.09279,1.09684,1.08961,1.09083,159892
2016.02.01,0:00,1.08964,1.09447,1.08388,1.0859,104020
2016.02.02,0:00,1.08585,1.09039,1.07575,1.07973,111689
2016.02.03,0:00,1.07989,1.08026,1.06484,1.0743,143922
2016.02.04,0:00,1.07392,1.07872,1.06885,1.0704,124422
2016.02.05,0:00,1.07033,1.07448,1.06482,1.06506,119450
